timestamp,track_id,plate,confidence,readings
2026-04-19 03:19:22,4,KA02MN1826,0.924,8
2026-04-19 03:19:41,13,KA02HN1828,0.926,5
2026-04-19 03:20:10,24,XA02NH725,0.925,8
2026-04-19 03:20:35,25,KA02MM9091,0.976,8
